				FITNESS	TRAIN FIT	TIME	
PARTITION (0,0)	87.3913	91.7391	105.4966	
PARTITION (0,1)	81.3043	91.3043	106.2301	
PARTITION (1,0)	80.4348	93.0435	106.6859	
PARTITION (1,1)	84.7826	92.1739	106.2661	
PARTITION (2,0)	83.4783	92.1739	105.8778	
PARTITION (2,1)	86.5217	92.6087	106.2312	
PARTITION (3,0)	82.6087	92.1739	105.7616	
PARTITION (3,1)	84.3478	94.3478	106.1153	
PARTITION (4,0)	84.7826	92.6087	106.2320	
PARTITION (4,1)	80.0000	93.9130	105.8210	
MEAN			83.5652	92.6087	106.0718	
STDEV			2.3558	0.8916	0.3187	
