				FITNESS	TRAIN FIT	TIME	
PARTITION (0,0)	93.6620	95.4386	0.0120	
PARTITION (0,1)	96.1404	94.0141	0.0120	
PARTITION (1,0)	93.6620	96.4912	0.0120	
PARTITION (1,1)	96.4912	95.0704	0.0120	
PARTITION (2,0)	94.3662	95.7895	0.0140	
PARTITION (2,1)	95.0877	94.0141	0.0120	
PARTITION (3,0)	95.0704	96.4912	0.0120	
PARTITION (3,1)	97.1930	94.7183	0.0120	
PARTITION (4,0)	95.0704	93.3333	0.0120	
PARTITION (4,1)	94.3860	96.1268	0.0120	
MEAN			95.1129	95.1488	0.0122	
STDEV			1.1220	1.0537	0.0006	
