				FITNESS	TRAIN FIT	TIME	
PARTITION (0,0)	86.0870	91.3043	105.6092	
PARTITION (0,1)	84.3478	91.7391	106.1786	
PARTITION (1,0)	84.7826	91.7391	106.5443	
PARTITION (1,1)	82.6087	92.1739	106.2379	
PARTITION (2,0)	83.4783	89.5652	105.8478	
PARTITION (2,1)	83.4783	91.3043	105.9928	
PARTITION (3,0)	80.0000	90.4348	106.2114	
PARTITION (3,1)	86.0870	87.3913	106.0906	
PARTITION (4,0)	81.7391	89.1304	106.1278	
PARTITION (4,1)	80.4348	93.0435	105.9892	
MEAN			83.3043	90.7826	106.0830	
STDEV			2.0228	1.5891	0.2380	
