				FITNESS	TRAIN FIT	TIME	
PARTITION (0,0)	83.6538	88.4615	23.2087	
PARTITION (0,1)	79.8077	91.3462	23.3677	
PARTITION (1,0)	85.5769	89.4231	23.2805	
PARTITION (1,1)	80.7692	94.2308	23.5491	
PARTITION (2,0)	81.7308	90.3846	23.3141	
PARTITION (2,1)	82.6923	91.3462	23.1495	
PARTITION (3,0)	77.8846	92.3077	23.5337	
PARTITION (3,1)	86.5385	87.5000	23.2133	
PARTITION (4,0)	76.9231	92.3077	23.1149	
PARTITION (4,1)	88.4615	92.3077	23.2831	
MEAN			82.4038	90.9615	23.3015	
STDEV			3.5473	1.9330	0.1398	
