				FITNESS	TRAIN FIT	TIME	
PARTITION (0,0)	86.5217	93.4783	106.1369	
PARTITION (0,1)	82.1739	93.4783	105.9420	
PARTITION (1,0)	86.9565	90.8696	106.5491	
PARTITION (1,1)	84.7826	95.2174	106.2205	
PARTITION (2,0)	80.4348	90.0000	106.4525	
PARTITION (2,1)	82.1739	89.5652	105.4568	
PARTITION (3,0)	78.2609	91.3043	106.0377	
PARTITION (3,1)	79.5652	90.8696	105.6164	
PARTITION (4,0)	83.4783	88.6957	106.0738	
PARTITION (4,1)	82.6087	93.0435	106.4721	
MEAN			82.6957	91.6522	106.0958	
STDEV			2.6998	1.9618	0.3395	
