				FITNESS	TRAIN FIT	TIME	
PARTITION (0,0)	93.6620	98.5965	95.0882	
PARTITION (0,1)	96.1404	96.4789	94.3600	
PARTITION (1,0)	94.0141	98.2456	94.6598	
PARTITION (1,1)	97.1930	96.8310	93.9915	
PARTITION (2,0)	95.4225	97.1930	94.4343	
PARTITION (2,1)	96.8421	96.4789	94.2374	
PARTITION (3,0)	94.7183	96.4912	94.7082	
PARTITION (3,1)	95.0877	96.8310	94.2908	
PARTITION (4,0)	95.0704	96.4912	94.8406	
PARTITION (4,1)	94.0351	97.5352	94.1484	
MEAN			95.2186	97.1172	94.4759	
STDEV			1.1405	0.7349	0.3233	
