				FITNESS	TRAIN FIT	TIME	
PARTITION (0,0)	96.1268	97.5439	94.5168	
PARTITION (0,1)	95.0877	98.2394	94.4984	
PARTITION (1,0)	95.7747	96.4912	94.8434	
PARTITION (1,1)	94.3860	97.8873	94.6136	
PARTITION (2,0)	94.7183	97.8947	95.2744	
PARTITION (2,1)	95.7895	97.5352	94.5864	
PARTITION (3,0)	96.8310	96.4912	95.0544	
PARTITION (3,1)	95.4386	97.8873	94.2044	
PARTITION (4,0)	98.2394	95.7895	94.9992	
PARTITION (4,1)	91.9298	99.2958	94.6012	
MEAN			95.4322	97.5056	94.7192	
STDEV			1.5669	0.9581	0.2997	
