				FITNESS	TRAIN FIT	TIME	
PARTITION (0,0)	94.3662	97.8947	94.8082	
PARTITION (0,1)	96.4912	96.8310	93.8848	
PARTITION (1,0)	94.0141	98.5965	95.0670	
PARTITION (1,1)	97.1930	97.5352	93.9560	
PARTITION (2,0)	95.0704	97.5439	94.6478	
PARTITION (2,1)	96.1404	97.1831	94.4188	
PARTITION (3,0)	94.0141	97.8947	94.3884	
PARTITION (3,1)	94.0351	97.5352	93.8481	
PARTITION (4,0)	95.4225	96.8421	94.5702	
PARTITION (4,1)	94.7368	98.2394	94.7902	
MEAN			95.1484	97.6096	94.4379	
STDEV			1.0789	0.5404	0.4002	
