				FITNESS	TRAIN FIT	TIME	
PARTITION (0,0)	78.8462	90.3846	23.3523	
PARTITION (0,1)	76.9231	89.4231	23.2671	
PARTITION (1,0)	86.5385	92.3077	23.2661	
PARTITION (1,1)	84.6154	91.3462	23.2933	
PARTITION (2,0)	80.7692	92.3077	23.1999	
PARTITION (2,1)	84.6154	88.4615	23.3283	
PARTITION (3,0)	80.7692	90.3846	23.5761	
PARTITION (3,1)	83.6538	89.4231	23.4173	
PARTITION (4,0)	81.7308	90.3846	23.2227	
PARTITION (4,1)	86.5385	88.4615	23.3435	
MEAN			82.5000	90.2885	23.3267	
STDEV			3.0649	1.3216	0.1036	
