				FITNESS	TRAIN FIT	TIME	
PARTITION (0,0)	96.8310	97.8947	95.8201	
PARTITION (0,1)	95.0877	97.1831	97.3410	
PARTITION (1,0)	95.0704	96.1404	100.3621	
PARTITION (1,1)	95.7895	97.5352	94.8542	
PARTITION (2,0)	95.4225	97.5439	95.2762	
PARTITION (2,1)	95.0877	97.1831	94.3287	
PARTITION (3,0)	97.1831	96.1404	95.9563	
PARTITION (3,1)	94.7368	97.5352	95.3078	
PARTITION (4,0)	95.0704	95.4386	95.6266	
PARTITION (4,1)	92.6316	99.2958	95.1660	
MEAN			95.2911	97.1890	96.0039	
STDEV			1.1739	1.0279	1.6373	
