				FITNESS	TRAIN FIT	TIME	
PARTITION (0,0)	83.6538	90.3846	23.3721	
PARTITION (0,1)	78.8462	94.2308	23.3291	
PARTITION (1,0)	80.7692	90.3846	23.3477	
PARTITION (1,1)	84.6154	91.3462	23.2527	
PARTITION (2,0)	81.7308	89.4231	23.1467	
PARTITION (2,1)	85.5769	91.3462	23.0097	
PARTITION (3,0)	79.8077	92.3077	23.0947	
PARTITION (3,1)	81.7308	89.4231	23.1385	
PARTITION (4,0)	76.9231	93.2692	22.9339	
PARTITION (4,1)	85.5769	89.4231	23.0743	
MEAN			81.9231	91.1538	23.1700	
STDEV			2.7800	1.5977	0.1426	
