				FITNESS	TRAIN FIT	TIME	
PARTITION (0,0)	84.6154	88.4615	22.9881	
PARTITION (0,1)	77.8846	91.3462	23.1473	
PARTITION (1,0)	80.7692	88.4615	22.9679	
PARTITION (1,1)	80.7692	95.1923	22.7591	
PARTITION (2,0)	84.6154	90.3846	22.8781	
PARTITION (2,1)	83.6538	88.4615	22.8135	
PARTITION (3,0)	81.7308	91.3462	22.8701	
PARTITION (3,1)	84.6154	89.4231	22.8079	
PARTITION (4,0)	77.8846	90.3846	22.9283	
PARTITION (4,1)	80.7692	88.4615	22.7501	
MEAN			81.7308	90.1923	22.8910	
STDEV			2.4704	2.0078	0.1156	
