				FITNESS	TRAIN FIT	TIME	
PARTITION (0,0)	84.3478	92.1739	105.4158	
PARTITION (0,1)	83.9130	92.1739	105.3184	
PARTITION (1,0)	81.7391	92.1739	105.8002	
PARTITION (1,1)	86.0870	89.5652	106.0910	
PARTITION (2,0)	85.2174	91.7391	105.9902	
PARTITION (2,1)	82.6087	90.0000	106.4263	
PARTITION (3,0)	86.5217	92.6087	106.4357	
PARTITION (3,1)	80.0000	93.9130	106.7743	
PARTITION (4,0)	83.9130	90.8696	106.1826	
PARTITION (4,1)	80.4348	91.3043	106.1287	
MEAN			83.4783	91.6522	106.0563	
STDEV			2.1303	1.2111	0.4296	
