				FITNESS	TRAIN FIT	TIME	
PARTITION (0,0)	94.7183	96.8421	4.9123	
PARTITION (0,1)	94.7368	96.4789	4.6285	
PARTITION (1,0)	92.9577	97.8947	3.9598	
PARTITION (1,1)	96.8421	95.4225	8.2071	
PARTITION (2,0)	95.0704	96.8421	4.6979	
PARTITION (2,1)	94.0351	96.4789	6.2480	
PARTITION (3,0)	95.7747	96.1404	4.7193	
PARTITION (3,1)	95.0877	95.7747	6.3014	
PARTITION (4,0)	95.7747	97.1930	5.7523	
PARTITION (4,1)	95.4386	96.4789	7.4950	
MEAN			95.0436	96.5546	5.6921	
STDEV			1.0010	0.6666	1.3013	
