				FITNESS	TRAIN FIT	TIME	
PARTITION (0,0)	86.9565	92.6087	106.5489	
PARTITION (0,1)	82.1739	94.3478	107.7065	
PARTITION (1,0)	85.6522	90.4348	106.4533	
PARTITION (1,1)	83.0435	92.6087	106.2416	
PARTITION (2,0)	82.6087	88.6957	106.5491	
PARTITION (2,1)	82.6087	90.4348	106.1933	
PARTITION (3,0)	80.8696	92.6087	106.5283	
PARTITION (3,1)	83.0435	92.1739	106.5851	
PARTITION (4,0)	84.3478	89.5652	106.7157	
PARTITION (4,1)	80.8696	92.1739	106.8831	
MEAN			83.2174	91.5652	106.6405	
STDEV			1.8467	1.6292	0.4062	
