				FITNESS	TRAIN FIT	TIME	
PARTITION (0,0)	95.7747	97.1930	93.1073	
PARTITION (0,1)	95.4386	97.8873	92.8477	
PARTITION (1,0)	95.0704	97.8947	93.1789	
PARTITION (1,1)	96.1404	96.8310	92.5959	
PARTITION (2,0)	94.7183	96.8421	93.1849	
PARTITION (2,1)	94.0351	96.4789	92.6787	
PARTITION (3,0)	94.7183	99.2982	93.3817	
PARTITION (3,1)	96.8421	97.1831	92.2869	
PARTITION (4,0)	96.8310	96.8421	93.1377	
PARTITION (4,1)	94.3860	97.1831	92.5539	
MEAN			95.3955	97.3634	92.8954	
STDEV			0.9354	0.7750	0.3351	
