				FITNESS	TRAIN FIT	TIME	
PARTITION (0,0)	77.3913	91.3043	104.7236	
PARTITION (0,1)	83.9130	90.4348	104.2103	
PARTITION (1,0)	87.3913	92.6087	104.8000	
PARTITION (1,1)	86.0870	94.7826	105.7682	
PARTITION (2,0)	83.0435	91.7391	104.2218	
PARTITION (2,1)	83.9130	91.7391	104.4366	
PARTITION (3,0)	82.1739	93.0435	104.5856	
PARTITION (3,1)	88.6957	87.8261	104.3864	
PARTITION (4,0)	85.6522	91.3043	104.2167	
PARTITION (4,1)	83.0435	93.0435	104.5244	
MEAN			84.1304	91.7826	104.5874	
STDEV			2.9887	1.7550	0.4386	
