				FITNESS	TRAIN FIT	TIME	
PARTITION (0,0)	95.0704	96.4912	92.7909	
PARTITION (0,1)	95.4386	98.2394	92.7767	
PARTITION (1,0)	95.4225	97.5439	93.0181	
PARTITION (1,1)	95.7895	97.8873	92.2209	
PARTITION (2,0)	94.7183	97.8947	92.9795	
PARTITION (2,1)	95.7895	95.7747	92.5129	
PARTITION (3,0)	95.7747	97.8947	92.8027	
PARTITION (3,1)	96.1404	96.8310	92.4479	
PARTITION (4,0)	98.2394	95.7895	93.2351	
PARTITION (4,1)	94.0351	98.5916	92.3397	
MEAN			95.6418	97.2938	92.7124	
STDEV			1.0449	0.9561	0.3078	
