				FITNESS	TRAIN FIT	TIME	
PARTITION (0,0)	95.0704	96.8421	99.3833	
PARTITION (0,1)	94.7368	98.9437	98.7434	
PARTITION (1,0)	96.4789	97.1930	101.1462	
PARTITION (1,1)	96.1404	98.2394	99.7723	
PARTITION (2,0)	93.3099	98.5965	100.3631	
PARTITION (2,1)	95.0877	97.1831	99.3091	
PARTITION (3,0)	95.0704	97.1930	100.0305	
PARTITION (3,1)	96.1404	97.1831	99.1511	
PARTITION (4,0)	97.5352	96.4912	100.1995	
PARTITION (4,1)	93.6842	98.9437	99.2749	
MEAN			95.3254	97.6809	99.7373	
STDEV			1.2179	0.8621	0.6739	
