				FITNESS	TRAIN FIT	TIME	
PARTITION (0,0)	85.5769	91.3462	22.8943	
PARTITION (0,1)	87.5000	90.3846	22.7305	
PARTITION (1,0)	87.5000	89.4231	22.7755	
PARTITION (1,1)	81.7308	96.1538	22.7923	
PARTITION (2,0)	85.5769	86.5385	22.6867	
PARTITION (2,1)	81.7308	90.3846	22.7473	
PARTITION (3,0)	83.6538	90.3846	22.8593	
PARTITION (3,1)	86.5385	93.2692	22.7605	
PARTITION (4,0)	82.6923	94.2308	22.8823	
PARTITION (4,1)	88.4615	89.4231	22.8565	
MEAN			85.0962	91.1538	22.7985	
STDEV			2.3649	2.6086	0.0672	
