				FITNESS	TRAIN FIT	TIME	
PARTITION (0,0)	95.4225	97.1930	92.5299	
PARTITION (0,1)	95.7895	98.5916	92.7137	
PARTITION (1,0)	95.0704	97.5439	93.2109	
PARTITION (1,1)	95.4386	97.8873	92.2801	
PARTITION (2,0)	94.3662	98.2456	93.0135	
PARTITION (2,1)	95.4386	96.8310	92.4767	
PARTITION (3,0)	95.7747	97.8947	92.5989	
PARTITION (3,1)	95.0877	98.2394	92.2727	
PARTITION (4,0)	98.2394	96.8421	93.2091	
PARTITION (4,1)	94.0351	98.9437	92.4825	
MEAN			95.4663	97.8212	92.6788	
STDEV			1.0707	0.6804	0.3337	
