				FITNESS	TRAIN FIT	TIME	
PARTITION (0,0)	84.3478	91.7391	104.1157	
PARTITION (0,1)	84.7826	93.4783	104.0863	
PARTITION (1,0)	86.9565	92.1739	103.9507	
PARTITION (1,1)	83.0435	91.7391	103.8123	
PARTITION (2,0)	86.5217	93.0435	103.9997	
PARTITION (2,1)	82.1739	93.4783	103.9323	
PARTITION (3,0)	88.6957	89.1304	103.8853	
PARTITION (3,1)	75.2174	92.6087	103.6999	
PARTITION (4,0)	84.7826	93.9130	103.7833	
PARTITION (4,1)	84.7826	90.8696	103.6347	
MEAN			84.1304	92.2174	103.8901	
STDEV			3.4688	1.3668	0.1466	
