				FITNESS	TRAIN FIT	TIME	
PARTITION (0,0)	95.7747	97.1930	93.5869	
PARTITION (0,1)	94.7368	97.8873	93.1515	
PARTITION (1,0)	95.7747	98.5965	93.8880	
PARTITION (1,1)	95.4386	96.8310	92.3849	
PARTITION (2,0)	96.1268	96.8421	93.2345	
PARTITION (2,1)	94.7368	97.1831	92.4831	
PARTITION (3,0)	92.6056	99.2982	93.2855	
PARTITION (3,1)	97.8947	97.1831	93.0517	
PARTITION (4,0)	96.4789	97.8947	93.4761	
PARTITION (4,1)	94.3860	97.5352	93.2667	
MEAN			95.3954	97.6444	93.1809	
STDEV			1.3387	0.7565	0.4375	
