				FITNESS	TRAIN FIT	TIME	
PARTITION (0,0)	81.7391	93.0435	103.8581	
PARTITION (0,1)	83.4783	92.6087	103.8887	
PARTITION (1,0)	86.9565	92.1739	103.8947	
PARTITION (1,1)	82.1739	90.4348	104.2471	
PARTITION (2,0)	84.7826	87.3913	103.9395	
PARTITION (2,1)	80.4348	92.1739	104.2573	
PARTITION (3,0)	89.1304	86.9565	104.1867	
PARTITION (3,1)	81.3043	94.3478	104.2116	
PARTITION (4,0)	85.2174	93.0435	104.0503	
PARTITION (4,1)	86.9565	91.3043	104.1435	
MEAN			84.2174	91.3478	104.0678	
STDEV			2.7225	2.3127	0.1466	
