				FITNESS	TRAIN FIT	TIME	
PARTITION (0,0)	82.6087	91.3043	104.8516	
PARTITION (0,1)	83.4783	90.8696	105.2730	
PARTITION (1,0)	89.1304	93.0435	105.0060	
PARTITION (1,1)	86.0870	93.0435	105.0036	
PARTITION (2,0)	88.2609	92.6087	104.8906	
PARTITION (2,1)	83.0435	91.3043	105.2316	
PARTITION (3,0)	86.9565	91.7391	104.7944	
PARTITION (3,1)	82.6087	93.9130	105.1686	
PARTITION (4,0)	81.7391	93.0435	104.9250	
PARTITION (4,1)	87.3913	92.1739	105.1392	
MEAN			85.1304	92.3043	105.0284	
STDEV			2.5782	0.9338	0.1531	
