				FITNESS	TRAIN FIT	TIME	
PARTITION (0,0)	95.0704	96.8421	93.3487	
PARTITION (0,1)	94.7368	98.2394	92.8491	
PARTITION (1,0)	96.8310	97.5439	93.1869	
PARTITION (1,1)	95.7895	97.5352	93.0077	
PARTITION (2,0)	94.7183	97.5439	93.3777	
PARTITION (2,1)	95.0877	96.4789	93.0867	
PARTITION (3,0)	94.7183	97.5439	93.3977	
PARTITION (3,1)	95.7895	97.5352	93.1651	
PARTITION (4,0)	97.8873	96.1404	93.3985	
PARTITION (4,1)	93.6842	98.9437	92.8431	
MEAN			95.4313	97.4346	93.1661	
STDEV			1.1427	0.7686	0.2073	
