				FITNESS	TRAIN FIT	TIME	
PARTITION (0,0)	95.0704	98.2456	96.3215	
PARTITION (0,1)	94.3860	98.5916	95.5692	
PARTITION (1,0)	95.0704	98.5965	96.4183	
PARTITION (1,1)	95.7895	97.5352	95.3526	
PARTITION (2,0)	94.7183	97.1930	96.1473	
PARTITION (2,1)	95.4386	97.5352	95.6195	
PARTITION (3,0)	92.9577	99.2982	95.9973	
PARTITION (3,1)	96.8421	98.2394	95.8049	
PARTITION (4,0)	97.5352	96.8421	96.1561	
PARTITION (4,1)	93.3333	97.5352	95.7157	
MEAN			95.1142	97.9612	95.9102	
STDEV			1.3387	0.7167	0.3351	
