				FITNESS	TRAIN FIT	TIME	
PARTITION (0,0)	84.7826	93.4783	103.9923	
PARTITION (0,1)	84.3478	90.8696	104.0471	
PARTITION (1,0)	86.0870	93.0435	104.0631	
PARTITION (1,1)	84.3478	89.5652	103.9869	
PARTITION (2,0)	81.7391	92.1739	104.2033	
PARTITION (2,1)	81.7391	93.9130	104.2628	
PARTITION (3,0)	89.5652	90.8696	104.2422	
PARTITION (3,1)	80.8696	93.0435	104.0141	
PARTITION (4,0)	83.0435	92.1739	103.9489	
PARTITION (4,1)	87.8261	91.7391	104.1735	
MEAN			84.4348	92.0870	104.0934	
STDEV			2.6433	1.2866	0.1036	
