				FITNESS	TRAIN FIT	TIME	
PARTITION (0,0)	79.8077	93.2692	22.5449	
PARTITION (0,1)	82.6923	90.3846	22.5819	
PARTITION (1,0)	87.5000	92.3077	22.6085	
PARTITION (1,1)	80.7692	94.2308	22.5455	
PARTITION (2,0)	83.6538	90.3846	22.6903	
PARTITION (2,1)	79.8077	91.3462	22.6037	
PARTITION (3,0)	85.5769	91.3462	22.5773	
PARTITION (3,1)	83.6538	95.1923	22.4523	
PARTITION (4,0)	81.7308	95.1923	22.4925	
PARTITION (4,1)	88.4615	91.3462	22.5525	
MEAN			83.3654	92.5000	22.5649	
STDEV			2.8863	1.7625	0.0618	
