				FITNESS	TRAIN FIT	TIME	
PARTITION (0,0)	86.5217	92.1739	104.0535	
PARTITION (0,1)	86.0870	90.8696	104.2735	
PARTITION (1,0)	86.5217	89.5652	104.2756	
PARTITION (1,1)	82.6087	90.8696	104.0265	
PARTITION (2,0)	85.6522	91.7391	103.9405	
PARTITION (2,1)	83.0435	92.1739	103.9973	
PARTITION (3,0)	87.8261	89.1304	104.3158	
PARTITION (3,1)	81.7391	93.9130	104.1506	
PARTITION (4,0)	82.6087	94.3478	103.9481	
PARTITION (4,1)	85.6522	90.8696	103.6525	
MEAN			84.8261	91.5652	104.0634	
STDEV			2.0061	1.5941	0.1901	
