				FITNESS	TRAIN FIT	TIME	
PARTITION (0,0)	95.4225	96.8421	92.8667	
PARTITION (0,1)	94.0351	98.5916	92.5767	
PARTITION (1,0)	94.7183	98.2456	92.9349	
PARTITION (1,1)	94.7368	97.5352	92.1921	
PARTITION (2,0)	93.6620	98.2456	93.2415	
PARTITION (2,1)	96.4912	97.1831	92.6779	
PARTITION (3,0)	96.4789	97.8947	93.0247	
PARTITION (3,1)	94.7368	98.2394	92.5141	
PARTITION (4,0)	96.1268	96.8421	92.9395	
PARTITION (4,1)	93.6842	98.9437	92.3869	
MEAN			95.0093	97.8563	92.7355	
STDEV			1.0265	0.6925	0.3062	
