				FITNESS	TRAIN FIT	TIME	
PARTITION (0,0)	79.5652	93.4783	106.1087	
PARTITION (0,1)	84.3478	91.3043	105.1876	
PARTITION (1,0)	86.9565	93.9130	105.5034	
PARTITION (1,1)	86.0870	95.2174	105.5512	
PARTITION (2,0)	83.0435	93.9130	104.7712	
PARTITION (2,1)	83.9130	90.4348	105.6676	
PARTITION (3,0)	80.8696	94.7826	104.7234	
PARTITION (3,1)	90.8696	93.4783	105.1096	
PARTITION (4,0)	82.6087	92.6087	104.4376	
PARTITION (4,1)	81.7391	93.0435	104.3486	
MEAN			84.0000	93.2174	105.1409	
STDEV			3.1280	1.3912	0.5431	
