				FITNESS	TRAIN FIT	TIME	
PARTITION (0,0)	94.3662	97.1930	94.1414	
PARTITION (0,1)	95.4386	97.8873	93.7273	
PARTITION (1,0)	94.3662	97.8947	94.4024	
PARTITION (1,1)	95.7895	96.8310	93.8053	
PARTITION (2,0)	95.4225	97.5439	94.5738	
PARTITION (2,1)	96.1404	97.5352	93.6591	
PARTITION (3,0)	93.3099	99.2982	94.4306	
PARTITION (3,1)	97.1930	97.5352	93.6405	
PARTITION (4,0)	95.4225	97.1930	94.4080	
PARTITION (4,1)	95.0877	97.8873	93.7040	
MEAN			95.2536	97.6799	94.0492	
STDEV			1.0150	0.6328	0.3590	
