				FITNESS	TRAIN FIT	TIME	
PARTITION (0,0)	86.5385	93.2692	22.5713	
PARTITION (0,1)	84.6154	96.1538	22.6819	
PARTITION (1,0)	83.6538	93.2692	22.6673	
PARTITION (1,1)	85.5769	89.4231	22.5983	
PARTITION (2,0)	88.4615	92.3077	22.4833	
PARTITION (2,1)	82.6923	93.2692	22.4803	
PARTITION (3,0)	86.5385	94.2308	22.5017	
PARTITION (3,1)	87.5000	92.3077	22.5091	
PARTITION (4,0)	84.6154	89.4231	22.5435	
PARTITION (4,1)	77.8846	94.2308	22.5399	
MEAN			84.8077	92.7885	22.5576	
STDEV			2.8459	1.9821	0.0683	
