				FITNESS	TRAIN FIT	TIME	
PARTITION (0,0)	80.7692	90.3846	22.5739	
PARTITION (0,1)	82.6923	87.5000	22.5543	
PARTITION (1,0)	89.4231	87.5000	22.4379	
PARTITION (1,1)	79.8077	94.2308	22.4473	
PARTITION (2,0)	85.5769	88.4615	22.5335	
PARTITION (2,1)	82.6923	90.3846	22.5463	
PARTITION (3,0)	83.6538	89.4231	22.4093	
PARTITION (3,1)	86.5385	92.3077	22.5497	
PARTITION (4,0)	80.7692	92.3077	22.5311	
PARTITION (4,1)	88.4615	89.4231	22.6535	
MEAN			84.0385	90.1923	22.5237	
STDEV			3.1657	2.0978	0.0690	
