				FITNESS	TRAIN FIT	TIME	
PARTITION (0,0)	82.1739	94.3478	104.0203	
PARTITION (0,1)	83.0435	90.8696	103.6053	
PARTITION (1,0)	84.3478	94.3478	103.9345	
PARTITION (1,1)	85.6522	94.7826	104.1557	
PARTITION (2,0)	84.3478	93.4783	104.3246	
PARTITION (2,1)	85.6522	93.0435	104.0135	
PARTITION (3,0)	80.8696	95.2174	104.3396	
PARTITION (3,1)	88.2609	90.0000	104.0411	
PARTITION (4,0)	89.1304	90.8696	104.1037	
PARTITION (4,1)	86.0870	93.0435	103.9285	
MEAN			84.9565	93.0000	104.0467	
STDEV			2.4376	1.7332	0.2025	
