				FITNESS	TRAIN FIT	TIME	
PARTITION (0,0)	84.3478	91.7391	105.1668	
PARTITION (0,1)	83.0435	92.1739	105.3786	
PARTITION (1,0)	85.6522	91.3043	105.2574	
PARTITION (1,1)	84.3478	92.6087	105.4198	
PARTITION (2,0)	82.1739	90.0000	105.2544	
PARTITION (2,1)	83.0435	92.6087	105.2534	
PARTITION (3,0)	86.9565	87.3913	105.0396	
PARTITION (3,1)	82.1739	95.6522	105.0006	
PARTITION (4,0)	83.0435	94.3478	105.1808	
PARTITION (4,1)	85.6522	92.1739	104.8656	
MEAN			84.0435	92.0000	105.1817	
STDEV			1.5438	2.1319	0.1624	
