				FITNESS	TRAIN FIT	TIME	
PARTITION (0,0)	82.6923	91.3462	22.5905	
PARTITION (0,1)	84.6154	89.4231	22.5759	
PARTITION (1,0)	86.5385	91.3462	22.6235	
PARTITION (1,1)	77.8846	95.1923	22.5805	
PARTITION (2,0)	84.6154	85.5769	22.5263	
PARTITION (2,1)	77.8846	91.3462	22.6075	
PARTITION (3,0)	82.6923	91.3462	22.6395	
PARTITION (3,1)	81.7308	93.2692	22.5365	
PARTITION (4,0)	82.6923	94.2308	22.6215	
PARTITION (4,1)	89.4231	88.4615	22.6501	
MEAN			83.0769	91.1538	22.5952	
STDEV			3.3641	2.6786	0.0395	
