SEED-77148642  sonar    sonar    sonar    wdbc     wdbc     wdbc     spambase-460  spambase-460  spambase-460
ALGORITHMS     FITNESS  TRAIN    TIME     FITNESS  TRAIN    TIME     FITNESS       TRAIN         TIME
1NN            83.3654  83.3654  0.0011   95.2551  95.2551  0.0062   83.1304       83.1304       0.0070
RANDOM         84.5192  83.6538  0.0000   95.1497  95.1491  0.0000   82.8261       83.3478       0.0000
RELIEF         84.0385  86.7308  0.0029   95.5367  95.3960  0.0126   85.4783       87.3043       0.0130
RELIEF+LS      84.0385  92.0192  2.3132   95.1143  97.5048  5.7754   85.0870       93.8696       14.9141
RANDOM+LS      84.7115  87.9808  2.4372   95.3603  97.0122  5.8744   83.4783       90.4783       14.0254
AGG-BLX        84.2308  92.4038  22.6251  95.4663  97.8212  92.6788  84.1304       92.2174       103.8901
AGG-CA         83.0769  91.1538  22.5952  95.6418  97.2938  92.7124  84.2174       91.3478       104.0678
AGE-BLX        83.3654  92.5000  22.5649  95.0093  97.8563  92.7355  84.8261       91.5652       104.0634
AGE-CA         84.0385  90.1923  22.5237  95.4313  97.4346  93.1661  84.4348       92.0870       104.0934
AM-10-1.0      83.1731  91.6346  23.2664  95.3254  97.6809  99.7373  82.8696       91.9130       110.8597
AM-10-0.1      85.0962  91.1538  22.7985  95.1847  97.8567  94.6491  84.0435       92.0000       105.1817
AM-10-0.1mej   83.3654  91.3462  22.9576  95.6065  97.8562  95.0006  85.1304       92.3043       105.0284
