				FITNESS	TRAIN FIT	TIME	
PARTITION (0,0)	86.5217	95.6522	12.2439	
PARTITION (0,1)	86.9565	94.3478	17.4258	
PARTITION (1,0)	84.7826	93.0435	10.2284	
PARTITION (1,1)	84.7826	93.4783	19.2487	
PARTITION (2,0)	83.4783	93.0435	14.9181	
PARTITION (2,1)	80.8696	93.0435	12.5567	
PARTITION (3,0)	91.7391	92.6087	12.9685	
PARTITION (3,1)	80.8696	95.2174	14.5290	
PARTITION (4,0)	84.3478	96.5217	19.2391	
PARTITION (4,1)	86.5217	91.7391	15.7829	
MEAN			85.0870	93.8696	14.9141	
STDEV			3.0125	1.4344	2.8833	
