				FITNESS	TRAIN FIT	TIME	
PARTITION (0,0)	85.5769	90.3846	22.6134	
PARTITION (0,1)	83.6538	93.2692	22.6747	
PARTITION (1,0)	87.5000	93.2692	22.5924	
PARTITION (1,1)	83.6538	89.4231	22.4690	
PARTITION (2,0)	83.6538	93.2692	22.5382	
PARTITION (2,1)	83.6538	90.3846	22.3764	
PARTITION (3,0)	85.5769	89.4231	22.3824	
PARTITION (3,1)	77.8846	92.3077	22.6234	
PARTITION (4,0)	79.8077	96.1538	22.4896	
PARTITION (4,1)	87.5000	90.3846	22.4771	
MEAN			83.8462	91.8269	22.5237	
STDEV			2.9103	2.0736	0.0966	
