				FITNESS	TRAIN FIT	TIME	
PARTITION (0,0)	85.5769	93.2692	22.5222	
PARTITION (0,1)	86.5385	92.3077	22.5262	
PARTITION (1,0)	85.5769	90.3846	22.5697	
PARTITION (1,1)	82.6923	89.4231	22.4448	
PARTITION (2,0)	79.8077	91.3462	22.4830	
PARTITION (2,1)	82.6923	91.3462	22.5494	
PARTITION (3,0)	83.6538	95.1923	22.6444	
PARTITION (3,1)	90.3846	90.3846	22.7382	
PARTITION (4,0)	86.5385	94.2308	22.4482	
PARTITION (4,1)	82.6923	93.2692	22.5968	
MEAN			84.6154	92.1154	22.5523	
STDEV			2.7870	1.7625	0.0858	
