				FITNESS	TRAIN FIT	TIME	
PARTITION (0,0)	81.7308	93.2692	22.7836	
PARTITION (0,1)	81.7308	91.3462	22.7951	
PARTITION (1,0)	79.8077	94.2308	22.8016	
PARTITION (1,1)	89.4231	89.4231	22.7276	
PARTITION (2,0)	85.5769	87.5000	22.5848	
PARTITION (2,1)	81.7308	96.1538	22.4740	
PARTITION (3,0)	83.6538	91.3462	22.6386	
PARTITION (3,1)	83.6538	91.3462	22.5278	
PARTITION (4,0)	82.6923	94.2308	22.6192	
PARTITION (4,1)	89.4231	88.4615	22.7248	
MEAN			83.9423	91.7308	22.6677	
STDEV			3.1024	2.6230	0.1105	
