				FITNESS	TRAIN FIT	TIME	
PARTITION (0,0)	84.6154	91.3462	22.9682	
PARTITION (0,1)	87.5000	95.1923	22.5530	
PARTITION (1,0)	87.5000	93.2692	22.4830	
PARTITION (1,1)	81.7308	93.2692	22.4644	
PARTITION (2,0)	85.5769	89.4231	22.4856	
PARTITION (2,1)	80.7692	94.2308	22.5872	
PARTITION (3,0)	79.8077	95.1923	22.4589	
PARTITION (3,1)	81.7308	93.2692	22.5258	
PARTITION (4,0)	81.7308	91.3462	22.4760	
PARTITION (4,1)	80.7692	91.3462	22.4820	
MEAN			83.1731	92.7885	22.5484	
STDEV			2.7280	1.7859	0.1454	
