				FITNESS	TRAIN FIT	TIME	
PARTITION (0,0)	83.6538	91.3462	22.5606	
PARTITION (0,1)	82.6923	90.3846	22.5453	
PARTITION (1,0)	88.4615	94.2308	22.4936	
PARTITION (1,1)	78.8462	94.2308	22.6856	
PARTITION (2,0)	84.6154	89.4231	22.6306	
PARTITION (2,1)	82.6923	92.3077	22.4046	
PARTITION (3,0)	84.6154	90.3846	22.4846	
PARTITION (3,1)	88.4615	95.1923	22.4252	
PARTITION (4,0)	81.7308	94.2308	22.4966	
PARTITION (4,1)	86.5385	92.3077	22.5425	
MEAN			84.2308	92.4038	22.5269	
STDEV			2.8589	1.8965	0.0819	
