				FITNESS	TIME	TRAIN FIT	
PARTITION (0,0)	85.2174	104.3018	87.3913	
PARTITION (0,1)	82.6087	103.8962	93.9130	
PARTITION (1,0)	85.6522	104.1614	90.0000	
PARTITION (1,1)	80.4348	104.2550	92.6087	
PARTITION (2,0)	83.4783	104.2550	91.7391	
PARTITION (2,1)	80.0000	104.2550	90.0000	
PARTITION (3,0)	82.6087	105.3314	92.6087	
PARTITION (3,1)	84.3478	104.0678	91.7391	
PARTITION (4,0)	83.9130	103.8962	92.6087	
PARTITION (4,1)	83.4783	104.0210	91.3043	
MEAN			83.1739	104.2441	91.3913	
STDEV			1.7506	0.3891	1.7586	
