				FITNESS	TIME	TRAIN FIT	
PARTITION (0,0)	78.8462	22.5420	92.3077	
PARTITION (0,1)	88.4615	22.6200	85.5769	
PARTITION (1,0)	85.5769	22.8228	91.3462	
PARTITION (1,1)	86.5385	22.6356	92.3077	
PARTITION (2,0)	80.7692	22.5264	86.5385	
PARTITION (2,1)	82.6923	22.5732	90.3846	
PARTITION (3,0)	84.6154	22.5420	88.4615	
PARTITION (3,1)	85.5769	22.6200	89.4231	
PARTITION (4,0)	79.8077	22.6044	93.2692	
PARTITION (4,1)	89.4231	22.5732	86.5385	
MEAN			84.2308	22.6060	89.6154	
STDEV			3.4186	0.0806	2.6085	
