				FITNESS	TIME	TRAIN FIT	
PARTITION (0,0)	77.8846	22.8852	93.2692	
PARTITION (0,1)	80.7692	22.5576	87.5000	
PARTITION (1,0)	86.5385	22.6200	93.2692	
PARTITION (1,1)	88.4615	22.7292	91.3462	
PARTITION (2,0)	85.5769	22.9008	87.5000	
PARTITION (2,1)	79.8077	24.2268	89.4231	
PARTITION (3,0)	82.6923	25.8299	92.3077	
PARTITION (3,1)	83.6538	25.2766	89.4231	
PARTITION (4,0)	79.8077	26.6845	92.3077	
PARTITION (4,1)	82.6923	23.9195	89.4231	
MEAN			82.7885	23.9630	90.5769	
STDEV			3.1729	1.4241	2.0979	
