				FITNESS	TIME	TRAIN FIT	
PARTITION (0,0)	95.7747	93.1322	97.5439	
PARTITION (0,1)	95.7895	92.7578	97.5352	
PARTITION (1,0)	95.7747	93.4130	95.7895	
PARTITION (1,1)	94.0351	92.6642	96.4789	
PARTITION (2,0)	94.7183	93.1478	97.1930	
PARTITION (2,1)	95.0877	92.1962	95.4225	
PARTITION (3,0)	94.3662	93.0542	96.8421	
PARTITION (3,1)	95.0877	92.3366	96.4789	
PARTITION (4,0)	94.7183	93.1322	97.8947	
PARTITION (4,1)	97.1930	92.5862	97.5352	
MEAN			95.2545	92.8420	96.8714	
STDEV			0.8655	0.3750	0.7787	
