				FITNESS	TIME	TRAIN FIT	
PARTITION (0,0)	96.4789	93.1010	98.2456	
PARTITION (0,1)	95.0877	92.6174	97.8873	
PARTITION (1,0)	94.7183	93.4286	96.8421	
PARTITION (1,1)	95.0877	92.5862	97.5352	
PARTITION (2,0)	93.3099	93.6470	97.8947	
PARTITION (2,1)	96.8421	92.8046	96.1268	
PARTITION (3,0)	93.3099	93.0854	98.5965	
PARTITION (3,1)	95.0877	92.7110	97.5352	
PARTITION (4,0)	95.4225	93.0386	98.5965	
PARTITION (4,1)	94.7368	92.6330	98.5916	
MEAN			95.0082	92.9652	97.7851	
STDEV			1.0789	0.3438	0.7725	
