				FITNESS	TIME	TRAIN FIT	
PARTITION (0,0)	96.4789	96.7135	98.2456	
PARTITION (0,1)	95.0877	93.0115	97.8873	
PARTITION (1,0)	94.7183	95.9545	96.8421	
PARTITION (1,1)	95.0877	94.1944	97.5352	
PARTITION (2,0)	93.3099	96.6745	97.8947	
PARTITION (2,1)	96.8421	94.7388	96.1268	
PARTITION (3,0)	93.3099	93.4486	98.5965	
PARTITION (3,1)	95.0877	92.0870	97.5352	
PARTITION (4,0)	95.4225	92.3522	98.5965	
PARTITION (4,1)	94.7368	92.9138	98.5916	
MEAN			95.0082	94.2089	97.7851	
STDEV			1.0789	1.6527	0.7725	
