				FITNESS	TIME	TRAIN FIT	
PARTITION (0,0)	86.0870	103.9898	86.9565	
PARTITION (0,1)	83.9130	104.7074	90.0000	
PARTITION (1,0)	86.5217	103.8026	86.0870	
PARTITION (1,1)	80.0000	104.0210	91.3043	
PARTITION (2,0)	81.7391	104.3486	88.6957	
PARTITION (2,1)	83.0435	104.0210	89.1304	
PARTITION (3,0)	83.0435	105.0506	89.5652	
PARTITION (3,1)	83.0435	104.7854	88.6957	
PARTITION (4,0)	84.3478	102.1646	89.5652	
PARTITION (4,1)	85.6522	47.7673	90.4348	
MEAN			83.7391	98.4658	89.0435	
STDEV			1.9171	16.9162	1.4784	
