				FITNESS	TIME	TRAIN FIT	
PARTITION (0,0)	84.7826	109.0910	92.6087	
PARTITION (0,1)	80.8696	109.1846	94.3478	
PARTITION (1,0)	91.7391	109.0130	91.7391	
PARTITION (1,1)	80.4348	109.2314	95.2174	
PARTITION (2,0)	84.3478	109.4498	90.0000	
PARTITION (2,1)	83.9130	109.1066	92.1739	
PARTITION (3,0)	84.7826	109.2938	94.3478	
PARTITION (3,1)	83.4783	109.0910	93.4783	
PARTITION (4,0)	86.9565	109.1690	93.4783	
PARTITION (4,1)	85.6522	109.2002	92.6087	
MEAN			84.6957	109.1830	93.0000	
STDEV			3.0109	0.1210	1.4348	
