				FITNESS	TIME	TRAIN FIT	
PARTITION (0,0)	96.8310	95.2850	98.5965	
PARTITION (0,1)	95.7895	94.3334	98.2394	
PARTITION (1,0)	95.0704	95.2538	97.5439	
PARTITION (1,1)	95.0877	94.1774	97.5352	
PARTITION (2,0)	93.3099	95.1602	97.8947	
PARTITION (2,1)	95.4386	94.8482	97.1831	
PARTITION (3,0)	94.7183	97.1869	98.5965	
PARTITION (3,1)	93.6842	96.4872	97.5352	
PARTITION (4,0)	95.4225	98.2387	98.9474	
PARTITION (4,1)	97.5439	94.0056	98.2394	
MEAN			95.2896	95.4976	98.0311	
STDEV			1.2107	1.3158	0.5502	
