				FITNESS	TIME	TRAIN FIT	
PARTITION (0,0)	80.0000	105.5186	87.3913	
PARTITION (0,1)	80.4348	105.2066	90.0000	
PARTITION (1,0)	84.7826	104.9726	86.0870	
PARTITION (1,1)	82.1739	105.1910	92.1739	
PARTITION (2,0)	82.1739	105.3782	88.6957	
PARTITION (2,1)	80.8696	104.3486	89.1304	
PARTITION (3,0)	80.0000	104.3330	89.5652	
PARTITION (3,1)	84.3478	104.0522	87.8261	
PARTITION (4,0)	83.9130	104.0366	89.1304	
PARTITION (4,1)	83.9130	104.0990	89.1304	
MEAN			82.2609	104.7136	88.9130	
STDEV			1.7797	0.5642	1.5465	
