				FITNESS	TRAIN FIT	TIME	
PARTITION (0,0)	84.7826	91.7391	106.6233	
PARTITION (0,1)	80.8696	92.1739	106.1031	
PARTITION (1,0)	80.8696	92.6087	105.7780	
PARTITION (1,1)	82.1739	91.7391	105.5468	
PARTITION (2,0)	85.2174	91.7391	105.6258	
PARTITION (2,1)	83.4783	94.3478	105.8308	
PARTITION (3,0)	84.3478	93.4783	105.9019	
PARTITION (3,1)	86.5217	93.9130	105.7570	
PARTITION (4,0)	85.6522	92.6087	105.7202	
PARTITION (4,1)	84.7826	94.3478	105.7016	
MEAN			83.8696	92.8696	105.8589	
STDEV			1.8694	1.0145	0.2932	
