				FITNESS	TRAIN FIT	TIME	
PARTITION (0,0)	78.8462	91.3462	22.6261	
PARTITION (0,1)	87.5000	85.5769	22.6761	
PARTITION (1,0)	76.9231	91.3462	22.5705	
PARTITION (1,1)	84.6154	87.5000	22.7673	
PARTITION (2,0)	76.9231	88.4615	22.7893	
PARTITION (2,1)	85.5769	85.5769	22.6481	
PARTITION (3,0)	81.7308	86.5385	22.6743	
PARTITION (3,1)	80.7692	91.3462	22.7503	
PARTITION (4,0)	82.6923	91.3462	22.6711	
PARTITION (4,1)	79.8077	88.4615	22.6615	
MEAN			81.5385	88.7500	22.6835	
STDEV			3.4075	2.3178	0.0639	
