				FITNESS	TRAIN FIT	TIME	
PARTITION (0,0)	80.7692	85.5769	0.0030	
PARTITION (0,1)	80.7692	82.6923	0.0030	
PARTITION (1,0)	85.5769	91.3462	0.0030	
PARTITION (1,1)	84.6154	84.6154	0.0030	
PARTITION (2,0)	84.6154	85.5769	0.0030	
PARTITION (2,1)	79.8077	84.6154	0.0020	
PARTITION (3,0)	85.5769	86.5385	0.0020	
PARTITION (3,1)	83.6538	87.5000	0.0030	
PARTITION (4,0)	78.8462	87.5000	0.0020	
PARTITION (4,1)	80.7692	86.5385	0.0030	
MEAN			82.5000	86.2500	0.0027	
STDEV			2.4249	2.1949	0.0005	
