				FITNESS	TRAIN FIT	TIME	
PARTITION (0,0)	96.1268	97.5439	93.5659	
PARTITION (0,1)	93.6842	97.5352	93.1943	
PARTITION (1,0)	96.1268	97.5439	93.2101	
PARTITION (1,1)	93.6842	97.8873	93.0955	
PARTITION (2,0)	96.1268	96.8421	93.4697	
PARTITION (2,1)	95.4386	97.5352	92.7603	
PARTITION (3,0)	95.4225	97.1930	93.5957	
PARTITION (3,1)	95.7895	96.8310	92.4771	
PARTITION (4,0)	94.0141	96.4912	93.4041	
PARTITION (4,1)	95.0877	96.4789	92.8233	
MEAN			95.1501	97.1882	93.1596	
STDEV			0.9504	0.4708	0.3549	
