				FITNESS	TRAIN FIT	TIME	
PARTITION (0,0)	92.6056	97.5439	96.6137	
PARTITION (0,1)	96.8421	95.7747	95.2520	
PARTITION (1,0)	94.3662	97.8947	95.7473	
PARTITION (1,1)	94.0351	98.5916	94.9232	
PARTITION (2,0)	95.7747	96.4912	95.8159	
PARTITION (2,1)	94.7368	98.2394	94.9830	
PARTITION (3,0)	95.4225	97.8947	96.0047	
PARTITION (3,1)	94.7368	97.8873	94.6250	
PARTITION (4,0)	96.1268	98.5965	95.7333	
PARTITION (4,1)	96.1404	97.1831	95.4343	
MEAN			95.0787	97.6097	95.5132	
STDEV			1.1784	0.8592	0.5608	
