				FITNESS	TRAIN FIT	TIME	
PARTITION (0,0)	82.6087	89.1304	0.0130	
PARTITION (0,1)	87.8261	85.6522	0.0140	
PARTITION (1,0)	83.0435	87.3913	0.0130	
PARTITION (1,1)	84.3478	84.3478	0.0120	
PARTITION (2,0)	82.6087	85.2174	0.0130	
PARTITION (2,1)	84.3478	86.9565	0.0130	
PARTITION (3,0)	88.6957	83.0435	0.0130	
PARTITION (3,1)	83.4783	87.3913	0.0130	
PARTITION (4,0)	87.3913	87.3913	0.0130	
PARTITION (4,1)	85.6522	86.5217	0.0130	
MEAN			85.0000	86.3043	0.0130	
STDEV			2.1499	1.6756	0.0004	
