				FITNESS	TRAIN FIT	TIME	
PARTITION (0,0)	83.4783	91.7391	104.5168	
PARTITION (0,1)	77.3913	92.1739	104.3174	
PARTITION (1,0)	83.0435	92.1739	104.6588	
PARTITION (1,1)	82.1739	92.6087	104.5026	
PARTITION (2,0)	87.3913	92.1739	104.7640	
PARTITION (2,1)	81.3043	93.0435	104.6612	
PARTITION (3,0)	80.8696	95.6522	104.5256	
PARTITION (3,1)	84.7826	90.4348	104.7158	
PARTITION (4,0)	79.5652	92.1739	104.1181	
PARTITION (4,1)	82.6087	92.1739	104.5710	
MEAN			82.2609	92.4348	104.5351	
STDEV			2.6216	1.2480	0.1849	
