				FITNESS	TRAIN FIT	TIME	
PARTITION (0,0)	85.5769	88.4615	22.6863	
PARTITION (0,1)	80.7692	87.5000	22.7141	
PARTITION (1,0)	84.6154	93.2692	22.5899	
PARTITION (1,1)	82.6923	88.4615	22.5557	
PARTITION (2,0)	78.8462	89.4231	22.4653	
PARTITION (2,1)	80.7692	87.5000	22.6195	
PARTITION (3,0)	82.6923	89.4231	22.7991	
PARTITION (3,1)	83.6538	89.4231	22.7095	
PARTITION (4,0)	81.7308	89.4231	22.6391	
PARTITION (4,1)	78.8462	86.5385	22.8883	
MEAN			82.0192	88.9423	22.6667	
STDEV			2.1521	1.7336	0.1154	
