				FITNESS	TRAIN FIT	TIME	
PARTITION (0,0)	93.6620	97.8947	93.6833	
PARTITION (0,1)	97.1930	95.7747	93.1345	
PARTITION (1,0)	95.7747	97.5439	93.1977	
PARTITION (1,1)	94.0351	97.8873	92.8711	
PARTITION (2,0)	96.4789	96.4912	93.4235	
PARTITION (2,1)	95.0877	97.8873	92.8421	
PARTITION (3,0)	96.8310	97.1930	93.2051	
PARTITION (3,1)	96.1404	97.8873	92.5293	
PARTITION (4,0)	94.7183	98.5965	93.4373	
PARTITION (4,1)	95.7895	96.8310	92.7913	
MEAN			95.5710	97.3987	93.1115	
STDEV			1.1145	0.7906	0.3337	
